,job_title,job_date,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,experience in years,gender,Salary
342,سكرتير,12/04/1444,مجمع المسعودي الاول,1-72177,خاص,صغيرة فئة ب,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,Unknown,الرياض,UMM TALHA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026243953,0,Female,4000.0
343,أخصائي مبيعات,12/04/1444,شركة حسين عبدالرحمن السماعيل للصناعة,4-1972619,خاص,صغيرة فئة ب,صناعة التركيبات للمحلات والمطاعم ، يشمل ( تركيب ديكورات وما شابهها ),"['Language data', 'الانجليزية ', 'محترف']",المنطقة الشرقية,AD DAMMAM...,"['Salary', '5625.0', 'Benefits', 'عمولات ']",دوام كامل,0 / 3,20202026243892,2,Both,5625.0
344,سائق حافلة,12/04/1444,مؤسسة عبدالله علي محسن حدادي للخدمات اللوجستية,1-2606420,خاص,صغيرة فئة أ,النقل البري للبضائع,"['Skill data', 'سائق ', 'مبتدئ']",الرياض,AR RIYADH...,"['Salary', '9200.0', 'Benefits', 'الرواتب تعتمد على توصيل الطرود ']",دوام كامل,0 / 10,20202026243842,0,Male,9200.0
345,محاسب,09/04/1444,مؤسسة شريان حائل للمقاولات العامة,17-1141291,خاص,صغيرة فئة ب,الانشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ....الخ),"['Skill data', 'محاسب', 'متوسط', 'محاسب', 'محترف', 'Language data', 'العربية', 'محترف']",حائل,HAIL...,"['Salary', '3000.0']",دوام كامل,0 / 2,20202026243592,4,Both,3000.0
346,أخصائي عمليات موارد بشرية,09/04/1444,مؤسسة سوزان محمد علي القيسي للمقاولات العامة,9-2094738,خاص,صغيرة فئة أ,الإنشاءات العامة للمباني السكنية,"['Skill data', 'استخدام الحاسب الألى وبرامجه ', 'متوسط', 'التعامل بشكل احترافي مع تطبيقات Office', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026243585,4,Female,4000.0
347,صيدلي,09/04/1444,فرع شركة زد ام سي للتجارة,35-39444,خاص,متوسطة فئة ب,الإنشاءات العامة للمباني السكنية,Unknown,مكة المكرمة,AL QUNFID...,"['Salary', '5000.0']",دوام كامل,0 / 4,20202026243326,0,Male,5000.0
348,فني تمريض,09/04/1444,فرع شركة زد ام سي للتجارة,35-28516,خاص,متوسطة فئة ب,المجمعات الطبية العامة,Unknown,مكة المكرمة,AL QUNFID...,"['Salary', '4000.0']",دوام كامل,0 / 5,20202026243315,0,Female,4000.0
349,معلم ابتدائي لغة أجنبية,09/04/1444,مدارس اضواء الهدايه للبنين والبنات الاهلية,1-1039368,خاص,متوسطة فئة ب,التعليم المتوسط للطلاب بمنهج وطني,Unknown,الرياض,AR RIYADH...,"['Salary', '5600.0']",دوام كامل,0 / 7,20202026243184,0,Both,5600.0
350,معلم ابتدائي تربية فنية,09/04/1444,مدارس اضواء الهدايه للبنين والبنات الاهلية,1-1039368,خاص,متوسطة فئة ب,التعليم المتوسط للطلاب بمنهج وطني,Unknown,الرياض,AR RIYADH...,"['Salary', '5600.0']",دوام كامل,0 / 6,20202026243183,0,Both,5600.0
351,معلم مرحلة متوسطة لغة عربية,09/04/1444,مدارس اضواء الهدايه للبنين والبنات الاهلية,1-1039368,خاص,متوسطة فئة ب,التعليم المتوسط للطلاب بمنهج وطني,Unknown,الرياض,AR RIYADH...,"['Salary', '5600.0']",دوام كامل,0 / 5,20202026243181,0,Both,5600.0
